"code_state","code_muni","name_muni","date","precip_mm"
15,1503408,"Inhangapi",2025-06-22,12.376259803772
15,1503457,"Ipixuna do Pará",2025-06-22,18.8820991516113
15,1503507,"Irituia",2025-06-22,21.8740863800049
15,1503606,"Itaituba",2025-06-22,5.4296498298645
15,1503705,"Itupiranga",2025-06-22,1.44933998584747
15,1503754,"Jacareacanga",2025-06-22,5.14125728607178
15,1503804,"Jacundá",2025-06-22,3.19430613517761
15,1503903,"Juruti",2025-06-22,3.56387329101562
15,1504000,"Limoeiro do Ajuru",2025-06-22,18.61549949646
15,1504059,"Mãe do Rio",2025-06-22,18.9020290374756
15,1504109,"Magalhães Barata",2025-06-22,0.332546651363373
15,1504208,"Marabá",2025-06-22,1.23295056819916
15,1504307,"Maracanã",2025-06-22,0.314171373844147
15,1504406,"Marapanim",2025-06-22,0.81061440706253
15,1504422,"Marituba",2025-06-22,11.5092792510986
15,1504455,"Medicilândia",2025-06-22,4.16056871414185
15,1504505,"Melgaço",2025-06-22,3.75911426544189
15,1504604,"Mocajuba",2025-06-22,19.4774723052979
15,1504703,"Moju",2025-06-22,13.7389230728149
15,1504752,"Mojuí dos Campos",2025-06-22,8.4565954208374
15,1504802,"Monte Alegre",2025-06-22,0.517252326011658
15,1504901,"Muaná",2025-06-22,10.1744089126587
15,1504950,"Nova Esperança do Piriá",2025-06-22,22.280725479126
15,1504976,"Nova Ipixuna",2025-06-22,1.63398051261902
15,1505007,"Nova Timboteua",2025-06-22,2.54529309272766
15,1505031,"Novo Progresso",2025-06-22,0.543978631496429
15,1505064,"Novo Repartimento",2025-06-22,5.44508934020996
15,1505106,"Óbidos",2025-06-22,0.528232455253601
15,1505205,"Oeiras do Pará",2025-06-22,16.5935878753662
15,1505304,"Oriximiná",2025-06-22,0.495276540517807
15,1505403,"Ourém",2025-06-22,13.0272808074951
15,1505437,"Ourilândia do Norte",2025-06-22,2.20772743225098
15,1505486,"Pacajá",2025-06-22,8.86444854736328
15,1505494,"Palestina do Pará",2025-06-22,1.34219825267792
15,1505502,"Paragominas",2025-06-22,11.7329339981079
15,1505536,"Parauapebas",2025-06-22,0.788942039012909
15,1505551,"Pau d'Arco",2025-06-22,0.585292220115662
15,1505601,"Peixe-Boi",2025-06-22,2.38633036613464
15,1505635,"Piçarra",2025-06-22,1.25074863433838
15,1505650,"Placas",2025-06-22,13.41969871521
15,1505700,"Ponta de Pedras",2025-06-22,6.90475988388062
15,1505809,"Portel",2025-06-22,6.83702325820923
15,1505908,"Porto de Moz",2025-06-22,3.51174402236938
15,1506005,"Prainha",2025-06-22,4.37257862091064
15,1506104,"Primavera",2025-06-22,0.920188724994659
15,1506112,"Quatipuru",2025-06-22,0.644154965877533
15,1506138,"Redenção",2025-06-22,0.660392165184021
15,1506161,"Rio Maria",2025-06-22,1.30932676792145
15,1506187,"Rondon do Pará",2025-06-22,4.8223729133606
15,1506195,"Rurópolis",2025-06-22,16.1498203277588
15,1506203,"Salinópolis",2025-06-22,0.26122972369194
15,1506302,"Salvaterra",2025-06-22,1.49441206455231
15,1506351,"Santa Bárbara do Pará",2025-06-22,8.11422443389893
15,1506401,"Santa Cruz do Arari",2025-06-22,1.05418241024017
15,1506500,"Santa Izabel do Pará",2025-06-22,11.0178747177124
15,1506559,"Santa Luzia do Pará",2025-06-22,22.4742527008057
15,1506583,"Santa Maria das Barreiras",2025-06-22,0.227506592869759
15,1506609,"Santa Maria do Pará",2025-06-22,6.172119140625
15,1506708,"Santana do Araguaia",2025-06-22,0.00848359521478415
15,1506807,"Santarém",2025-06-22,3.92447543144226
15,1506906,"Santarém Novo",2025-06-22,0.791203081607819
15,1507003,"Santo Antônio do Tauá",2025-06-22,6.10932207107544
15,1507102,"São Caetano de Odivelas",2025-06-22,2.24918341636658
15,1507151,"São Domingos do Araguaia",2025-06-22,2.62406229972839
15,1507201,"São Domingos do Capim",2025-06-22,19.9525375366211
15,1507300,"São Félix do Xingu",2025-06-22,1.45945942401886
15,1507409,"São Francisco do Pará",2025-06-22,7.2320442199707
15,1507458,"São Geraldo do Araguaia",2025-06-22,0.824515581130981
15,1507466,"São João da Ponta",2025-06-22,1.35288095474243
15,1507474,"São João de Pirabas",2025-06-22,0.340550780296326
15,1507508,"São João do Araguaia",2025-06-22,2.66195297241211
15,1507607,"São Miguel do Guamá",2025-06-22,12.1551208496094
15,1507706,"São Sebastião da Boa Vista",2025-06-22,9.03129005432129
15,1507755,"Sapucaia",2025-06-22,1.95491194725037
15,1507805,"Senador José Porfírio",2025-06-22,6.97929048538208
15,1507904,"Soure",2025-06-22,0.19581238925457
15,1507953,"Tailândia",2025-06-22,14.4248857498169
15,1507961,"Terra Alta",2025-06-22,3.80785727500916
15,1507979,"Terra Santa",2025-06-22,1.52092802524567
15,1508001,"Tomé-Açu",2025-06-22,23.5780048370361
15,1508035,"Tracuateua",2025-06-22,1.9878271818161
15,1508050,"Trairão",2025-06-22,7.11872148513794
15,1508084,"Tucumã",2025-06-22,1.60488402843475
15,1508100,"Tucuruí",2025-06-22,9.88748168945312
15,1508126,"Ulianópolis",2025-06-22,6.74785089492798
15,1508159,"Uruará",2025-06-22,10.0749340057373
15,1508209,"Vigia",2025-06-22,3.33713817596436
15,1508308,"Viseu",2025-06-22,17.0475521087646
15,1508357,"Vitória do Xingu",2025-06-22,7.07518148422241
15,1508407,"Xinguara",2025-06-22,1.15122652053833
16,1600055,"Serra do Navio",2025-06-22,2.60442399978638
16,1600105,"Amapá",2025-06-22,0.627758800983429
16,1600154,"Pedra Branca do Amapari",2025-06-22,2.23735427856445
16,1600204,"Calçoene",2025-06-22,4.48639154434204
16,1600212,"Cutias",2025-06-22,0.08486108481884
16,1600238,"Ferreira Gomes",2025-06-22,0.507588744163513
16,1600253,"Itaubal",2025-06-22,0.412251085042953
16,1600279,"Laranjal do Jari",2025-06-22,1.73708963394165
16,1600303,"Macapá",2025-06-22,0.390574932098389
16,1600402,"Mazagão",2025-06-22,1.38747346401215
16,1600501,"Oiapoque",2025-06-22,16.8705978393555
16,1600535,"Porto Grande",2025-06-22,1.50894820690155
16,1600550,"Pracuúba",2025-06-22,0.94419527053833
16,1600600,"Santana",2025-06-22,0.573314964771271
16,1600709,"Tartarugalzinho",2025-06-22,0.344119906425476
16,1600808,"Vitória do Jari",2025-06-22,4.52353811264038
17,1700251,"Abreulândia",2025-06-22,0.00160224596038461
17,1700301,"Aguiarnópolis",2025-06-22,0.63515692949295
17,1700350,"Aliança do Tocantins",2025-06-22,0
17,1700400,"Almas",2025-06-22,0
17,1700707,"Alvorada",2025-06-22,0
17,1701002,"Ananás",2025-06-22,0.666192352771759
17,1701051,"Angico",2025-06-22,0.199922278523445
17,1701101,"Aparecida do Rio Negro",2025-06-22,0.00119332759641111
17,1701309,"Aragominas",2025-06-22,1.26044297218323
17,1701903,"Araguacema",2025-06-22,0.475251466035843
17,1702000,"Araguaçu",2025-06-22,0
17,1702109,"Araguaína",2025-06-22,1.87871694564819
17,1702158,"Araguanã",2025-06-22,1.26141226291656
17,1702208,"Araguatins",2025-06-22,0.450977265834808
17,1702307,"Arapoema",2025-06-22,1.96198904514313
17,1702406,"Arraias",2025-06-22,0
17,1702554,"Augustinópolis",2025-06-22,0.124692596495152
17,1702703,"Aurora do Tocantins",2025-06-22,0
17,1702901,"Axixá do Tocantins",2025-06-22,0.263504922389984
17,1703008,"Babaçulândia",2025-06-22,2.49449324607849
17,1703057,"Bandeirantes do Tocantins",2025-06-22,2.48708319664001
17,1703073,"Barra do Ouro",2025-06-22,2.71398568153381
17,1703107,"Barrolândia",2025-06-22,0
